,android,angular,browser,build,c,c#,c++,client,cocoa,css,django,docker,example,files,framework,go,golang,google,haskell,html,image,java,javascript,jquery,kotlin,laravel,library,objective-c,phone,php,python,rails,react,ruby,server,shell,simple,swift,testing,theme,tutorial,website,wordpress
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018530220597853232,0.0,0.0,0.0,0.19591657850622277,0.03302427259459267,0.0,0.0,0.0,0.0,0.0,0.036032027756385324,0.0,0.0,0.0,0.021302612577620447,0.0,0.0,0.0,0.02776537395872524,0.0,0.0,0.01562917332424888,0.01484196196633058,0.021125474478462407,0.015534014146784684,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016190257658920744,0.0,0.0,0.0,0.0,0.01747793003503649,0.0,0.0,0.0,0.0,0.013709200424006952,0.0,0.0,0.05973062993648021,0.0,0.0,0.021053210295463913,0.016242227265089487,0.0,0.0,0.2261787366568763,0.0,0.0,0.0,0.0,0.0,0.01569891654223806,0.021420055852249466,0.0,0.0,0.0,0.0,0.0,0.020342007127055587
1,0.0,0.0,0.0,0.024118589743589745,0.0,0.0,0.011538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461537,0.7555370644312951,0.0,0.007011217948717948,0.04312952005259697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.018589743589743586,0.0,0.00641025641025641,0.007692307692307693,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01156191585429697,0.0,0.0,0.0,0.0,0.0,0.016081861465581174,0.0,0.0,0.0,0.0,0.0,0.011616046949405545,0.0,0.022787025322458722,0.0,0.0,0.0,0.016003431182617548,0.17158465109241744,0.009800761006515266,0.0,0.0,0.0,0.0,0.015419278992215638,0.0,0.0,0.018817886174979415,0.1363760307311536,0.0,0.0,0.0,0.0,0.0
1,0.129799302267681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011161404670731538,0.0,0.0,0.0,0.0,0.014153869671260064,0.0,0.011223704650753041,0.0,0.25638980428014807,0.02506200546356565,0.0,0.011708894981694536,0.0,0.02555688441287106,0.0,0.0,0.0,0.01351856409213765,0.0,0.0,0.0,0.0,0.0,0.013233896815550412,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.022156252111060853,0.019690244200279903,0.025176292224222956,0.0,0.0,0.016705550834769045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017872655227236096,0.0,0.020223342062448288,0.0449529506913934,0.0,0.0,0.0,0.016492965192494553,0.0,0.0,0.0,0.036549175012989724,0.0,0.0,0.0,0.0,0.027168862415110642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015161967744541968,0.0,0.0,0.0,0.016873403911299486,0.0,0.0,0.0,0.0,0.0,0.012998848971210883,0.0,0.0,0.06622388611654194,0.0,0.0,0.0,0.015431620751439303,0.0,0.0,0.0,0.014552279438368468,0.03268405923374018,0.0,0.1610045394607538,0.0,0.01992990540322932,0.01902727660376778,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.012324096024548845,0.0,0.012349385037224265,0.0,0.0,0.0,0.026318570681057304,0.0,0.0,0.012978590913546544,0.0,0.0,0.0,0.0,0.0,0.014539925479324235,0.0,0.0,0.039605749556265446,0.0,0.0,0.0,0.01476653905069147,0.0,0.0,0.0,0.27263621603661947,0.0,0.0,0.0,0.0,0.015598820626699764,0.015331187115460197,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.009883738485330208,0.0,0.0,0.0,0.0,0.0,0.0,0.015163937504311728,0.0,0.0,0.0,0.00988050785696966,0.0,0.0,0.0,0.0,0.0,0.017427545454796276,0.0,0.0,0.41714376117970714,0.008483735076264582,0.0,0.0,0.013882462074554073,0.0,0.0,0.0,0.0,0.0,0.016632834889855782,0.0,0.007863823100436216,0.0,0.014374273225558324,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011055442804226557,0.0,0.0,0.0,0.0,0.0,0.014315301050570505,0.009939956308657391,0.0,0.0,0.0,0.0,0.014297882462531003,0.0,0.0,0.038537232288534236,0.0,0.0,0.0,0.013431816408517884,0.0,0.0,0.0,0.0,0.05565821488952868,0.0,0.35084463573391617,0.0,0.012062327463883043,0.01955676197245282,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.012905989041550022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021849154655793308,0.0,0.0,0.0,0.011082551002186136,0.0,0.0,0.0,0.0,0.0,0.02135314108391315,0.0,0.0,0.21176644896579408,0.0,0.0,0.0,0.012800844671705745,0.0,0.0,0.0,0.013955317237046766,0.0,0.022097343533672625,0.01144665001347798,0.0,0.0,0.016437005861027577,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6439486921327361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014535933550018056,0.0,0.03704253604637919,0.0,0.0,0.04371357160404595,0.0,0.0,0.0,0.0,0.0,0.0,0.008894286434720858,0.0,0.0,0.0,0.015497376786143206,0.0,0.0,0.011101310044496921,0.0,0.0,0.03129380937950855,0.0,0.02220244466574655,0.009673220843211082
